　	連敗記録	脱出手段	対戦詳細	シーズン	日時	永世ID	備考																	
永世真竜王相剣	12	KONAMIによる通報	詳細	シーズン1	5/23 4:28	1	初代永世　対戦相手が操作不能バグで時間切れ勝ち　いや〜〜〜〜〜〜〜〜〜！																	
永世メタビ雷王	13	自力脱出	詳細	シーズン1	5/29 5:00	2	雷王本人の弁では「ランクマでは即降参されるから…」とのこと																	
永世相剣封印王	13	自力脱出	詳細	シーズン1	6/1 2:15	3	永世雷王と同一の二冠王　相手の場はダグけなザデスフェニ…手札の4枚は意味不明のカード…これでどうやって戦えばいいんだ																	
永世革命人	14	自力脱出	詳細	シーズン1	6/6 0:33	4	B・F　2戦目で回線落ちにより再試合　朝はプランキッズにストレートで勝ってたのにかわうそ…																	
永世お遊戯王	12	自力脱出	詳細	シーズン1	6/8 15:00	5	マシュマロンで耐えつつやぶ蛇踏ませるコンセプトが割れ連敗したがワンキル失敗した〇〇さんの手助けで脱走																	
永世表裏一体帝	17	自力脱出	詳細	シーズン2	6/12 3:20	6	ひたすら10000サイバーダークエンド召喚を狙うデッキ 17戦目で初召喚するも敗れ、続く18戦目にてサイバー・ダークエンドなんて出ないだろうと守備表示を嫌ったミネルバを正面から張り倒し8000ダメージフィニッシュ																	
永世鷲獅子王	16	自力脱出	詳細	シーズン2	6/16 12:07	7	調整後凡骨イグナイトver2.0																	
永世出張味皇	12	自力脱出	詳細	シーズン2	6/27 9:03	8	アモルファージに出張を詰め込んだ結果、事故が多発した。13戦目にてGツッパに失敗したウマドルを窒息させた。																	
永世七皇時空王	13	自力脱出	詳細	シーズン2	6/27 23:21	9	タキオンを出せたの最後の一戦だけ ただしその一戦の彼は間違いなくミザエルだった																	
永世幽戯王	12	通報	詳細	シーズン2	7/3 16:17	10	低速デッキのゴーストリックの特性故に4時間7分と言う長き熱闘を繰り広げそしてBACHの新規のMD実装を望みながら通報された																	
永世霊獣王	12	自力脱出	詳細	シーズン2	7/6 15:51	11	誘発のスロット確保の為に初動を減らしたためひたすら事故を引き起こしていた。最後は同じく事故ったヒートマンにデスフェニマクロを決めて脱出。																	
永世DDD大王	15	自力脱出	詳細	シーズン2	7/8 20:47	12	デデデデデデデデデデデデデデデ大王のしわざに ちがいありません。																	
永世哀女王	12	自力脱出	詳細	シーズン3	7/16 8:05	13	さようなら！永世になってしまったおめでたい女、財前葵！																	
永世影霊音階聖	22	自力脱出	詳細	シーズン3	7/17 18:44	14	ドレミネクロス　神巫を有効活用しようとした結果わかりやすいマスカンになってしまい何度も無効にされた　EXメタも勇者には全く意味がなかった。太り気味。																	
永世シン・革命人	13	自力脱出	詳細	シーズン3	7/18 4:29	15	前回から改良したもののデッキパワーが足りずあえなく永世となった																	
