この目次は別シートからのコピーです！					
編集・追加の際は元シートのご参照をどうぞ					
https://docs.google.com/spreadsheets/d/1uOPWwFZ4UQ51bAklqYyXxSA1Nj8O4Rx70xH0sYqGYl4/edit?usp=sharing					
					
					
					
一人でも自テーマ使いが増えたらいいよね！！！！！				↓最終更新日時（自動更新バグ直しました）ここの日付のセルを自分のプレゼンでセル参照してやればお手軽に更新日書いとけるよ	
					
	↓この列へのリンク反映は1日ぐらい時間差があります			1週間以内に\n更新されたシート	↓(更新した人が任意で記入してくれると読者が増える……かもしれない)
テーマ名	個別リンク（テーマ名を入れたら自動生成）				
アダマシア(ハリ禁止後)	アダマシア(ハリ禁止後)			2023/06/07	6/20 結界像入り春化精アダマシアのレシピ等を追記しました。 
アマゾネス	アマゾネス			2023/04/24	4/24　マスカンを書いた
アメイズメント	アメイズメント			2023/10/26	9/2 サンプルレシピ更新、古いサンプル折りたたみました。
アモルファージ	アモルファージ			2023/03/28	3/28 ﾋのあも味使いに触発されて更新
アンティーク・ギア（ワンパン型）	アンティーク・ギア（ワンパン型）			2023/09/22	大枠だけ整えました
アンワッチ	アンワッチ			2023/12/02	6/27　マスター1レシピ追加　デッキ相性改訂
イグナイト	イグナイト			2023/06/18	09/08 ターンスキップ展開ボウテンコウ基盤アザレア軸の更新
＠イグニスター	＠イグニスター			2023/01/23	11/26ヒートソウル絡めた展開や応用追加　皆も追加していってね
@イグニスター(サーキュラー後)	@イグニスター(サーキュラー後)			2023/10/31	5/5 トライゲート型のルート追加　CYACやVBまでの新規早く来てくれー！
＠イグニスター（シンギュラリティ）	＠イグニスター（シンギュラリティ）			2023/11/12	11/10 作成中　上二つは統合予定
Evil★Twin(イビルツイン)_1	Evil★Twin(イビルツイン)_1			2023/03/03	
Evil★Twin_2	Evil★Twin_2			2023/02/13	1と2を変えました！反応してくださってありがとうございます！（元old執筆）
Evil★Twin_深淵型	Evil★Twin_深淵型			2023/09/08	9月、ピュアリィ環境に対応。
甲虫装機(インゼクター)	甲虫装機(インゼクター)				
インフェルニティ	インフェルニティ			2023/06/10	6/10　イグナイト型のレシピ更新
インフェルノイド	インフェルノイド			2023/10/13	10/13　三戦の号の追記しただけで目新しいものはありません
ヴァンパイア	ヴァンパイア			2023/03/16	2/26　ユニキャリ死んだからちょっと更新
ヴァリアンツ	ヴァリアンツ			2023/08/10	一応書けた
U.A.(ウルトラアスリート)	U.A.(ウルトラアスリート)			2022/12/11	8/31 作成しました
ウィッチクラフト	ウィッチクラフト			2023/09/08	9/8　とりあえず工事完了しました　画像等調整だけ
エヴォル	エヴォル			2023/03/16	3/10 作成。→新規が来たので追記。
ABC	ABC			2023/08/12	8/12　イグナイトAB始動について記載(283行目)
エクソシスター	エクソシスター			2023/10/31	10/31 幸魂実装でレシピ、展開例更新。環境対策コメント。
エレキ	エレキ			2023/02/27	2/27    もの凄く更新遅れましたが新制限に対応しました
エルフの剣士	エルフの剣士			2023/10/23	10/23　2023年10月環境向けにチューンしたメタビの話を追記
焔聖騎士(執筆中)	焔聖騎士(執筆中)			2023/05/16	9/25、もうハリファイバーが死ぬけれど、一応バスブレ展開を追記
エンディミオン	エンディミオン			2022/10/03	
オッドアイズ	オッドアイズ			2023/11/26	5/26 デッキリスト更新　長い間放置しててごめん
オルターガイスト	オルターガイスト			2023/02/08	8/31　新制限により更新
オルフェゴール	オルフェゴール			2023/06/15	6/8　深淵の獣出張とカルテシア出張の概要とレシピ紹介
					
花札衛（カーディアン）	花札衛（カーディアン）			2023/01/19	デッキ増やしました
格安デッキ	格安デッキ			2022/11/11	10/1　見たいデッキや質問やデッキ案などあればご意見板に。花札衛と絵札ホープ追加。
ガスタ	ガスタ			2023/04/18	執筆者募集中
機塊	機塊			2023/04/19	4/19　コードブレイカー展開からのラドンの紹介とターンスキップ型を追記したよ
銀河眼(ギャラクシーアイズ) 	銀河眼(ギャラクシーアイズ) 			2023/06/08	9/9 新規カードを反映したデッキレシピ掲載　1～2枚初動の展開例を32通り記載
